"","x"
"1","Article"
"2","nazva"
"3","Year"
"4","Chapter"
"5","ChapterTXT"
"6","ACC"
"7","SUSP"
"8","TOCRT"
"9","INDICM"
"10","REL"
"11","MED"
"12","EDU"
"13","STPTOT"
"14","STPIL"
"15","STPLOC"
"16","STPSDR"
"17","STPFOR"
"18","RECID"
"19","GROUP"
"20","INTOX"
"21","JUVEN"
"22","CLOSE"
"23","CL1.2"
"24","CL3.1"
"25","CL10"
"26","NODEC"
"27","CRTOT"
"28","CONVIC"
"29","ACQUIT"
"30","CMED"
"31","CCLOSE"
"32","CONFES"
"33","RECONC"
"34","CIRCUMS"
"35","SPONS"
"36","AMNESTY"
"37","DEATH"
"38","COTHER"
"39","PROB"
"40","RELAMN"
"41","RELOTHR"
"42","SAMEVERD"
"43","CNOTCR"
"44","DENOPR"
"45","CEDU"
"46","LIFEIMP"
"47","IMP"
"48","IMP1"
"49","IMP12"
"50","IMP23"
"51","IMP35"
"52","IMP510"
"53","IMP1015"
"54","IMP1525"
"55","RESTOL"
"56","DISBAT"
"57","ARREST"
"58","CORRW"
"59","SRVRSTR"
"60","PUBLW"
"61","FINE"
"62","DEPR"
"63","G1"
"64","G2"
"65","G3"
"66","G4"
"67","G5"
"68","G6"
"69","G7"
"70","G8"
"71","G9"
"72","G10"
"73","G11"
"74","G12"
"75","G13"
"76","G14"
"77","G15"
"78","G16"
"79","G17"
"80","G18"
"81","G19"
"82","G20"
"83","G21"
"84","G22"
"85","G23"
"86","G24"
"87","G25"
"88","G26"
"89","G27"
"90","G28"
"91","G29"
"92","G30"
"93","G31"
"94","G32"
"95","G33"
"96","G34"
"97","G35"
"98","G36"
"99","G37"
"100","G38"
"101","G39"
"102","G40"
"103","G41"
"104","G42"
"105","G43"
"106","G44"
"107","G45"
"108","G46"
"109","G47"
"110","G48"
"111","G49"
"112","G50"
"113","G51"
"114","G52"
"115","G53"
"116","G54"
"117","G55"
"118","G56"
"119","G57"
"120","G58"
"121","G59"
"122","G60"
"123","G61"
"124","G62"
"125","G63"
"126","G64"
"127","G65"
"128","G185"
"129","RELTOT"
"130","TOTPROV"
"131","IMPTOT"
"132","ChapterR"
