"Year","Chapter","IsChp","Article","Art","FS1","FS2","FS3","FS4","FS5","FS6","FS7","FS8","FS9","FS10","FS11","FS12","FS13","FS14","FS15","FS16","FS17","FS18","FS19","FS20","FS21","FS22","FS23","FS24","FS25"
2016,"I",TRUE,"Злочини проти основ національної безпеки України",NA,159,NA,2,NA,149,19,0,0,0,20,37,69,6,17,31,108,15,26,0,142,7,7,0,0,0
2016,"II",TRUE,"Злочини проти життя та здоров'я особи",NA,2884,NA,41,NA,4186,512,13,41,134,1321,1268,1032,173,204,466,627,1028,2419,112,4136,44,36,6,2,2
2016,"III",TRUE,"Злочини проти волі, честі та гідності особи",NA,134,NA,10,NA,185,60,0,0,0,81,63,37,3,1,13,44,43,90,8,181,4,3,0,0,0
2016,"IV",TRUE,"Злочини проти статевої свободи та статевої недоторканності особи",NA,42,NA,1,NA,104,51,1,0,7,43,30,16,2,5,1,9,18,68,9,101,2,1,1,0,0
2016,"V",TRUE,"Злочини проти виборчих, трудових та інших особистих прав і свобод людини і громадянина",NA,275,NA,4,NA,393,34,2,1,3,93,171,101,7,15,58,113,83,185,12,390,2,2,1,0,0
2016,"VI",TRUE,"Злочини проти власності",NA,9156,NA,182,NA,12484,1769,69,311,629,5009,4171,1910,247,136,1342,1266,2548,8081,589,12306,163,110,15,2,6
2016,"VII",TRUE,"Злочини у сфері господарської діяльності",NA,662,NA,17,NA,741,22,0,0,0,145,294,234,35,33,135,359,130,250,2,733,7,3,1,0,0
2016,"VIII",TRUE,"Злочини проти довкілля",NA,176,NA,4,NA,214,0,0,0,5,65,65,59,10,10,3,21,56,134,3,213,1,0,0,0,0
2016,"IX",TRUE,"Злочини проти громадської безпеки",NA,1345,NA,33,NA,1313,286,2,4,17,362,474,371,54,27,75,378,307,597,31,1277,35,25,1,0,0
2016,"X",TRUE,"Злочини проти безпеки виробництва",NA,59,NA,1,NA,66,0,0,0,0,9,16,28,5,8,8,35,22,9,0,66,0,0,0,0,0
2016,"XI",TRUE,"Злочини проти безпеки руху та експлуатації транспорту",NA,2607,NA,42,NA,3133,212,8,50,117,1157,875,639,135,152,129,709,805,1565,54,3086,45,30,2,0,0
2016,"XII",TRUE,"Злочини проти громадського порядку та моральності",NA,574,NA,25,NA,853,77,1,6,32,424,248,121,14,7,108,167,182,482,22,845,6,5,2,1,0
2016,"XIII",TRUE,"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів та інші злочини проти здоров'я населення",NA,1454,NA,32,NA,2000,199,0,4,25,694,864,361,30,21,186,253,485,1219,43,1965,31,16,3,0,0
2016,"XIV",TRUE,"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації",NA,127,NA,5,NA,200,18,0,0,0,64,90,43,2,1,6,48,52,98,2,187,13,4,0,2,0
2016,"XV",TRUE,"Злочини проти авторитету органів державної влади, органів місцевого самоврядування та об'єднань громадян",NA,726,NA,30,NA,1023,94,0,1,10,289,362,279,39,43,247,397,209,405,12,976,47,33,0,2,0
2016,"XVI",TRUE,"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку",NA,28,NA,0,NA,38,0,0,0,0,16,16,5,1,0,11,26,6,6,0,38,0,0,0,0,0
2016,"XVII",TRUE,"Злочини у сфері службової діяльності та професійної діяльності, пов'язаної з наданням публічних послуг",NA,1019,NA,93,NA,1360,64,0,0,0,190,484,478,136,71,315,1184,112,62,2,1355,5,3,0,0,1
2016,"XVIII",TRUE,"Злочини проти правосуддя",NA,378,NA,11,NA,508,33,0,0,3,171,192,108,12,22,54,119,95,281,13,501,5,3,2,2,0
2016,"XIX",TRUE,"Злочини проти встановленого порядку несення військової служби (військові злочини)",NA,994,NA,19,NA,1674,115,0,0,0,682,717,267,7,1,5,175,689,801,9,1674,0,0,0,0,0
2016,"XX",TRUE,"Злочини проти миру, безпеки людства та міжнародного правопорядку",NA,27,NA,0,NA,20,4,0,0,0,6,6,7,0,1,1,7,8,5,0,16,4,4,0,0,0
